Winning Colour,Moves Count,Moves List
black won,66,1. d1-d3 h6-h3 2. k8-i8 f4-c4 3. e1-e3 e7-e10 4. d11-d10xe10 e6-e10 5. a8-c8 g7-g10xf10 6. h11-h10 f8-f10 7. j6-j9 g6-g9 8. k7-j7 f6-i6 9. f2-i2 h3-j3 10. h1-h2 f7-f9 11. a7-a9 i6-i7 12. j9-h9 i7-b7 13. d10-b10 e5-b5xb6 14. a4-b4 c4-c2 15. f1-c1 c2-b2 16. d3-b3 b7-c7 17. c1-c5xb5 f9-c9xc8 18. e11-c11 d6-d1 19. k4-f4xf5 c7-c6 20. k5-k3 c6-d6 21. b4-d4 d6-d5 22. a5-a2 d1-d3xd4 23. c5-c2xb2 j3-f3xe3 24. h2-f2xf3 d3-d1 25. c2-c1 d5-d2 26. a2-b2 e10-e1 27. f4-f9xf10xg9 g10-g8 28. g11-g9 g8-e8 29. h10-d10 c9-c7 30. f9-e9 g5-a5 31. b3-a3 c7-a7xa6 32. j7-e7xe8 a5-j5 33. e7-j7 resigned
white won,45,1. d1-d3 f8-c8 2. h11-h9 h6-h3 3. k4-i4 g5-j5 4. k7-j7 j5-j2 5. f2-h2 g6-g2 6. f1-f2xg2 f6-i6 7. k8-i8 i6-i5 8. j6-j3 h3-i3xi4 9. j7-j4 i3-i1 10. d3-i3 i5-i4 11. h2-i2 e5-e2 12. g1-g2 f4-b4 13. f2-f4xf5 e6-e4 14. k5-k2xj2 i4-g4xf4 15. i3-e3xe2 d6-d2 16. e3-c3 e4-c4 17. a5-c5xc4 g4-c4 18. e1-c1 f7-f1 19. j3-j1xi1xi1 d2-c2xc3 20. a4-a3 c4-c3 21. j1-j3 c3-b3 22. c1-b1 f1-c1xb1 23. resigned
black won,70,1. d1-d3 f4-c4 2. e1-e3 d6-d9 3. b6-b9 g7-j7 4. k8-j8xj7 f7-j7 5. h11-h9 g5-j5xj6 6. k4-i4 f5-i5 7. k6-i6xi5 j7-j6xi6 8. h1-h3 f6-f4 9. g1-j1 f4-h4 10. j1-j4 g6-g1 11. h3-h1xg1 h4-h2 12. j4-j2 h2-i2 13. h1-i1 i2-i3 14. k5-k3 e5-i5xi4 15. f10-i10 i5-b5 16. a4-b4 i3-i9 17. k7-k9 d9-g9xh9 18. j8-j10 c4-c10 19. a6-b6xb5 e6-e5 20. a5-c5 e7-k7 21. i1-i6 j5-k5 22. b6-g6xh6 e5-h5 23. i6-i3 h5-h6xg6 24. e3-h3 f8-k8 25. h3-h5 g9-g7 26. i3-i5 i9-i6 27. j2-j5 k7-j7 28. a8-h8 g7-h7 29. g11-g7 h7-i7 30. e11-e6 j7-j8 31. i10-i8 j6-j7 32. h8-h7xh6 c10-h10 33. b9-h9 h10-h11 34. h5-h6 h11-i11 35. h9-i9 resigned
white won,50,1. d1-d3 f8-c8 2. h11-h9 h6-h3 3. k4-i4 g5-j5 4. k7-i7 j5-j2 5. f2-h2 g6-g2 6. f1-f2xg2 f6-i6 7. k5-i5 c8-i8xi7 8. f10-i10 i6-i7 9. k8-j8 i7-k7 10. j8-k8 k7-j7 11. k8-j8 j2-j5xj6 12. i4-h4xh3 j7-k7 13. j8-k8 j5-k5xk6 14. h2-j2 k5-j5 15. d3-k3 f5-h5xi5 16. g11-j11 g7-g3 17. h4-i4 h5-h4 18. i4-i2 j5-j9 19. k8-k9 h4-k4 20. j2-j5 k4-k5 21. i2-i5 f4-k4 22. f11-f8xf7 e6-j6 23. a4-j4 e7-j7 24. k9-k8 j9-k9xk8 25. a8-c8 i8-j8
black won,70,1. d1-d3 f4-c4 2. e1-e3 h6-h9 3. k5-i5 e7-e10 4. d11-d10xe10 e6-e10 5. a8-c8 g7-g10xf10 6. h11-h10 f8-f10 7. i5-i9 g6-g9 8. b6-b9 f6-i6 9. f2-i2 g5-g3 10. j6-j3 d6-d4 11. f1-c1 i6-b6 12. a4-b4 b6-b8 13. a5-d5xd4 c4-c5xd5 14. k8-h8xh9 f7-d7 15. c8-c9 f5-f2 16. d3-d2 c5-a5 17. e3-a3 b8-c8 18. d2-b2 c8-a8 19. b9-a9 e10-e8 20. b4-a4xa5 e5-b5 21. d10-b10 a8-c8 22. c9-c10 b5-j5 23. h8-j8 f10-f4 24. f11-f10xg10 j5-a5 25. h10-h9 g9-g7 26. g11-g9 g3-c3 27. h9-h8 f2-d2 28. i9-i5 d2-d6 29. k7-h7 g7-e7 30. k6-g6 c3-c6 31. k4-g4 f4-d4 32. i5-g5 d7-b7 33. b10-b8 b7-b6 34. a9-c9 c8-d8 35. c10-d10 resigned
white won,52,1. d1-d3 d6-d9 2. h11-h9 f4-i4 3. k8-i8 e5-e2 4. g1-g2 e6-e3 5. a4-c4 e2-c2 6. d3-c3 f6-c6 7. f10-c10 f5-b5 8. e1-c1xc2 e7-b7xb6 9. a8-a9 b7-b10 10. d11-d10 b5-b2 11. a6-b6 f7-b7 12. a5-b5 d9-d3 13. c3-b3 c6-c5 14. c1-b1xb2 d3-c3xc4 15. f2-c2 i4-a4 16. b3-a3 a4-a5xb5 17. c10-c7xb7 c5-b5 18. b1-b3 b10-b7xb6 19. c7-c10 f8-a8 20. d10-d3xc3 g6-a6xa7xa7 21. e11-b11 g5-c5 22. f1-f3xe3 g7-c7 23. g11-g6 a6-c6 24. a3-a4 b5-b6 25. k5-d5 b6-a6 26. b3-b5xc5 c6-b6
white won,31,1. h1-h3 d6-d3 2. a8-c8 f8-i8 3. h11-h9 g5-g2 4. e1-e2 g7-g10 5. e11-e9 g10-j10 6. f10-i10 f7-j7 7. k8-k10xj10 f5-j5xj6 8. g11-g10 i8-i3 9. h3-h2xg2 j5-j2 10. i10-i7xj7 f6-f5 11. k5-i5 f4-i4 12. i5-j5 i3-i1 13. g1-g3 f5-h5 14. k4-j4 h5-h3 15. k6-k3 h3-j3 16. resigned
black won,28,1. d1-d3 f4-c4 2. e1-e3 e7-e10 3. d11-d10xe10 e6-e10 4. a8-c8 g7-g10xf10 5. h11-h10 f8-f10 6. b6-b9 f7-f9 7. g11-i11 f6-f7 8. j6-j9 f7-i7 9. i11-i10 i7-i1 10. j9-j1 i1-i3 11. j1-j3 i3-i1 12. j3-j1 i1-i3 13. j1-j3 i3-i1 14. j3-j1 i1-i7
black won,28,1. d1-d3 h6-h9 2. k4-i4 e7-b7 3. a8-b8xb7 f7-b7 4. d11-d9 e5-b5xb6 5. f2-c2 e6-e9 6. e11-e10 f4-c4 7. f10-f9xe9 d6-d8 8. f11-c11 f5-f2 9. h1-h3 f2-j2 10. f1-f2 b5-b3 11. a6-b6xb7 f6-c6 12. a7-d7xd8 c6-c5 13. k5-i5 h9-j9 14. d7-f7xf8 resigned
white won,35,1. h1-h3 h6-h9 2. j6-j9 g5-g2 3. f2-c2 g6-g3 4. k6-i6 f4-i4 5. g1-i1 i4-i3xh3 6. j9-j1 g7-i7 7. k8-i8xi7 f7-i7 8. i8-i9 f5-i5xi6 9. k4-j4 f6-j6 10. i9-j9 i3-k3 11. j1-j2 j6-k6 12. k7-k8 k3-k4xk5 13. j4-j3 k4-k3 14. i1-i2 g3-i3xj3 15. f1-h1 i3-i4 16. j2-k2 e6-j6 17. h1-j1 i7-k7 18. resigned
black won,36,1. d1-d3 f8-i8 2. d11-d9 h6-h3 3. k5-j5 g7-i7 4. f10-i10 e7-e10 5. b6-b10 f7-b7 6. j6-j9 f6-f8 7. e11-c11 f8-c8 8. a4-c4 e5-e2 9. d3-e3xe2 d6-d2 10. a5-b5 f5-d5 11. b5-b2 d5-a5 12. e3-a3 c8-c5 13. c4-c2 g5-g2 14. h1-h2xg2 c5-i5 15. k4-h4xh3 i5-i2 16. j5-j2 g6-g2xh2 17. g11-g3xg2 i2-i1 18. j2-j1 resigned
white won,19,1. h1-h3 f8-i8 2. k5-i5 g7-g10 3. e11-e9 f7-j7 4. a8-f8 g6-g9 5. h11-h10xg10 j7-j10 6. j6-j9 i8-j8xj9 7. i5-i8xj8 f6-f7 8. f2-j2 f7-i7 9. g11-j11 i7-i1 10. resigned
black won,36,1. d1-d3 h6-h3 2. k8-i8 g7-j7 3. k5-i5 f7-i7 4. g11-g9 f8-c8 5. b6-b9 f6-f9 6. h11-h9 c8-c11 7. a8-b8 f9-c9 8. a4-c4 c9-c10 9. b9-b10 d6-d9 10. b8-b9 e5-e2 11. d3-e3xe2 d9-d2 12. e1-c1 d2-b2 13. a5-a2 f5-a5 14. c4-a4xa5 c10-c3 15. a4-a3 g5-d5 16. c1-c2xb2 c3-d3 17. j6-j3 f4-f3xe3 18. k6-i6xi7 resigned
white won,71,1. h1-h3 f4-i4 2. g1-g3 g5-i5 3. f2-i2 f5-f2 4. d1-d2 f6-f4 5. a4-c4 f4-h4 6. j6-j3 f2-h2xh3 7. f1-h1 h6-h10 8. k8-h8 h4-h7 9. h8-h9xh10 h7-j7 10. f10-j10 j7-j9 11. h11-i11 f8-k8 12. i11-i10 j9-k9 13. j10-k10 k9-i9 14. k10-k9xk8 g7-g9xh9 15. g11-i11 g9-a9 16. d11-d9 h2-h10 17. e11-e10 e7-b7 18. e10-a10xa9 e5-b5xb6 19. c4-c7xb7 i9-e9 20. a8-f8xf7 h10-c10 21. a7-a9 e9-e11 22. d9-d11 c10-c11xd11 23. c7-c10 b5-b10 24. i10-d10 g6-g11xf11 25. k9-d9 e11-e8 26. g3-g9 e8-c8 27. a6-c6 c8-c9xc10 28. a9-b9 c11-d11 29. d10-c10xb10 d11-c11xc10 30. j3-j10 c11-d11 31. a5-a9 e6-e9xd9 32. k6-e6xd6 c9-c11 33. b9-b11 d11-d6xe6 34. e1-e6xd6 c11-c7 35. b11-c11 c7-b7 36. resigned
white won,33,1. k8-i8 d6-d3 2. f2-c2 f8-c8 3. b6-b9 h6-h9 4. j6-j9 e7-e10 5. f10-f9 g7-g9 6. f9-e9xe10 f7-i7 7. i8-i10 g5-g2 8. h1-h3 g6-j6 9. k4-i4 g2-i2 10. g1-i1 j6-j2 11. h3-i3xi2 f6-j6 12. k5-j5 j2-j4xj5 13. i3-j3 h9-h4xi4 14. k6-k3 c8-k8 15. h11-h8 j6-k6xk7 16. g11-j11 e6-j6 17. resigned
white won,63,1. h1-h3 f4-c4 2. f2-c2 d6-d9 3. h11-h9 f8-c8 4. b6-b9 e6-b6 5. f10-c10 d9-d3 6. a4-a3 b6-b2 7. d1-d2 f6-b6 8. e1-b1 b6-b3 9. a5-a4 e5-e1 10. c2-c1 c4-c2 11. d2-d1xe1 c8-c4 12. f1-e1 f5-a5 13. a6-c6 d3-d6 14. h3-c3xc2 d6-d3xc3 15. c6-a6xa5 d3-k3 16. g1-g3 b3-f3 17. g3-h3 f3-f1 18. h3-h1 b2-j2 19. b1-b2 f1-f2 20. h1-h2 f2-f1 21. h2-h1 c4-i4 22. b2-h2 i4-i2 23. a4-g4 f1-f2 24. c1-c2 f2-g2xh2 25. e1-g1 g2-g3xg4 26. k8-i8 e7-e1 27. i8-i3 i2-i1 28. f11-f8xf7 e1-e4 29. f8-f2 g3-h3 30. i3-i4 h3-j3 31. i4-i2 j3-i3xi2 32. resigned
white won,33,1. d1-d3 f8-i8 2. h11-i11 g7-g10 3. e11-e9 g6-g9 4. j6-j10 g9-k9 5. j10-k10xk9 g5-g9 6. k8-k9 h6-h3 7. k10-j10 f6-j6 8. k4-j4 j6-j5 9. j4-j2 i8-i1 10. k5-k3 j5-j3 11. i11-i3 f4-j4 12. g1-g3xh3 i1-j1xj2 13. f2-j2 j1-i1 14. h1-h2 i1-j1xj2 15. h2-j2 j1-i1 16. b6-b2 i1-j1xj2 17. resigned
black won,38,1. h1-h3 f4-i4 2. g1-g3 i4-i2 3. j6-j2 f5-f3 4. a4-c4 f6-f4 5. k4-i4 f3-b3 6. a5-a3 d6-d3 7. f2-b2 f4-d4 8. d11-d9 b3-b4xc4 9. a8-c8 h6-h10 10. k6-h6xg6 d4-h4 11. h3-h2xi2 g5-j5 12. i4-i5xj5 h4-h3 13. k5-k3 f7-f3xg3 14. f1-i1 f8-i8 15. h6-h9xh10 h3-h8 16. h11-i11 g7-i7 17. f10-j10 i8-i10 18. h9-i9xi10 h8-h10 19. e11-e10 resigned
white won,21,1. g1-g3 h6-h3 2. g3-c3 g5-j5 3. k7-i7 f5-i5 4. k4-j4xj5 g6-g1 5. f2-i2 h3-j3 6. h1-i1 f6-h6 7. k8-h8 h6-h2 8. b6-b2 j3-j2xi2 9. k5-k2 j2-j1 10. i1-h1xg1 h2-j2 11. resigned
black won,48,1. h1-h3 f4-c4 2. f2-c2 f5-f3 3. b6-b3 f6-f4 4. k4-i4 g5-g2 5. j6-j2 e5-b5 6. a8-c8 f4-h4 7. k8-i8 g2-h2xh3 8. k5-k3 h6-j6 9. h11-h9 j6-j4xi4 10. g1-i1 j4-j9 11. k7-k9 h4-h8 12. i8-i9xj9 g7-g10 13. h9-h10xg10 h8-h9 14. d11-d9 f8-j8 15. h10-j10 j8-j9xi9 16. g11-i11 h9-e9 17. a7-b7 e9-e10 18. b7-b10 e10-c10 19. e11-c11 c10-c9 20. a6-a9 e7-c7xc8 21. d9-i9xj9 e6-e11 22. k6-h6xg6 f7-g7 23. f10-g10 e11-e6 24. a4-b4 resigned
white won,79,1. a4-c4 h6-h9 2. f10-i10 f8-c8 3. d11-c11 e5-b5 4. c4-b4xb5 d6-d3 5. b4-b2 f4-a4 6. j6-j9 f5-b5 7. b6-c6 f6-f4 8. c6-c5xb5 f4-b4 9. a8-b8 b4-c4 10. f2-c2 a4-a3 11. a6-d6xe6 c4-a4 12. b2-a2 a3-b3 13. a2-a3 b3-b2 14. a3-a2xb2 a4-a3xa2 15. c2-a2 d3-c3 16. b8-b3 c3-c1 17. c5-c3 a3-a4 18. a2-a3 a4-j4 19. c3-j3 c8-c2 20. e1-e4 c2-j2xj3 21. h1-j1 j4-i4 22. g1-i1 i4-i2 23. b3-b2 j2-j3 24. j1-j2 j3-k3 25. j2-k2xk3 i2-i3 26. k4-k3 i3-b3 27. a7-b7 c1-b1xb2 28. d1-d2 b1-c1 29. d2-b2 c1-b1xb2 30. k2-b2 b1-c1 31. e4-e2 c1-b1xb2 32. e2-b2 b1-c1 33. d6-d2 c1-b1xb2 34. d2-b2 b1-c1 35. i10-i2 c1-b1xb2 36. i2-b2 b1-c1 37. j9-j2 c1-b1xb2 38. j2-b2 b1-c1 39. k3-c3 c1-b1xb2 40. resigned
black won,133,1. h1-h3 f4-i4 2. g1-g3 g7-g10 3. h11-h10xg10 g6-g10 4. k8-i8 e7-e10xf10 5. d11-d10 g10-g9 6. b6-b9 g9-j9 7. k7-k9 g5-j5 8. k4-j4xj5 f5-j5 9. h3-h4xi4 f7-j7xj6 10. i8-i9xj9 j5-i5 11. f2-i2 j7-j9 12. h10-j10 h6-h9xi9 13. g11-i11 e5-e3 14. d1-d3 i5-i4 15. h4-h2 i4-c4 16. f1-f3xe3 c4-c10xd10 17. e11-c11 f6-f7 18. a7-c7 f7-d7 19. c7-c9xc10 e10-c10 20. b9-b10 f8-c8xc9 21. a8-a9 c8-c3 22. d3-d2 c3-c2 23. d2-d3 e6-e4 24. a4-a2 d7-b7 25. d3-b3 b7-b4 26. a2-b2 c2-c1 27. a5-a4 j9-j7 28. a9-c9xc10 b4-b9 29. a6-a9 h9-d9xc9 30. b2-b1 b9-c9 31. f3-c3 d6-d1 32. b3-b2 c9-c4 33. c3-b3 c4-c2 34. f11-f2 c2-c3 35. h2-h4 d1-d5 36. i2-i5 c1-c2 37. b1-c1 c2-d2 38. b2-c2 d2-d4 39. e1-e3 e4-e8 40. c1-d1 d5-b5 41. d1-d3 c3-c5 42. i5-d5xd4 e8-e5xd5 43. k5-i5 e5-e7 44. j4-j6 c5-c10 45. c2-c4 j7-j8 46. j6-j7 j8-b8 47. b3-b4 d9-d6 48. a4-a5 b5-b7 49. b4-b5 b8-g8 50. f2-f4 b7-b8 51. g3-g5 b8-f8 52. h4-h6 g8-g11 53. k6-k8 e7-e9 54. j10-h10 c10-g10 55. k9-i9 d6-d11 56. d3-d9 e9-e10 57. k8-g8 f8-f9 58. i9-g9 f9-f11 59. e3-e9 f11-f9 60. f4-f8 g10-f10 61. d9-d10 f10-g10 62. i11-h11 g10-f10 63. i5-i10 f10-f11 64. h10-f10xe10xf9 d11-e11 65. g9-g10 e11-e10 66. c11-e11xe10xg11 f11-g11 67. f10-f11
white won,90,1. h1-h3 d6-d9 2. f10-c10 e7-e9 3. a4-c4 f8-i8 4. j6-j9 g5-g3 5. k4-i4 g7-g10 6. k8-k10 f7-c7 7. b6-b9 g3-a3 8. f2-a2 a3-b3 9. a5-a3 f4-d4 10. c4-c3xb3 f5-j5 11. a2-j2 f6-f2 12. d1-d2 f2-i2 13. g1-i1 i2-i3 14. k5-k3 e5-i5xi4 15. h11-i11 g6-g3xh3 16. k10-j10 e6-e5 17. j9-g9xg10 g3-g8 18. k7-g7xg8 h6-h7 19. g7-g8 h7-k7 20. k6-k4 i8-i9 21. g11-g10 c7-j7 22. a6-j6 i5-i8 23. j10-j8xj7 k7-k8xj8 24. k4-j4xj5 i8-j8 25. g10-j10 e5-k5 26. i11-i10 i3-i8 27. f11-j11 d4-h4 28. a7-j7 i9-j9 29. e11-i11 i8-i7 30. j6-k6 k8-k7xj7xk6 31. k3-k4 i7-i6 32. i1-i4 h4-h6 33. g8-g6 h6-h3 34. i4-i3 h3-h6xg6 35. g9-g6 e9-e8 36. f1-h1 e8-i8 37. h1-h5 d9-h9 38. i3-i5 j8-j5 39. e1-e7 h9-h7 40. e7-g7 k7-k10 41. b9-h9 h7-j7 42. h9-h7xh6 i8-j8 43. g6-h6 i6-k6 44. h6-j6xj5 k6-k8 45. j6-k6xk5 j7-k7
black won,36,1. h1-h3 g5-g2 2. e1-e2 f4-i4 3. h3-g3xg2 h6-h3 4. f2-f3 f5-i5 5. e2-i2 f6-f4 6. a4-c4 h3-h1 7. h11-h6xg6 e5-b5 8. d1-d4 b5-b2 9. c4-c2 i5-i11 10. a5-c5 i4-i9 11. k4-h4 g7-j7 12. i2-i7xj7 e6-e2 13. a6-a2xb2 e2-f2xf3 14. g3-f3xf2 f4-g4 15. g11-g7 f8-g8 16. h6-g6 g4-g2 17. h4-h2 g2-g5 18. k5-h5 resigned
