white won,1,1. k8-i8 d6-d9 2. a4-c4 g7-i7 3. h11-h9 g6-g10 4. e11-e10 g10-i10 5. g11-i11 i10-i9xi8 6. j6-j9xi9 i7-i9 7. k7-k9 h6-h3 8. f2-j2 g5-g9xh9 9. h1-i1 h3-k3 10. g1-h1 f6-i6 11. d1-d3 i6-i2 12. e1-e2 k3-k2xj2 13. j9-j2 k2-k3 14. j2-k2xk3 i2-j2 15. i1-j1 j2-j11 16. b6-d6xe6 j11-k11
black won,2,1. h1-h3 d6-d3 2. a5-c5 f4-c4 3. d11-d6 e7-c7 4. b6-c6 f8-c8 5. f10-b10 f7-f10 6. k8-f8 f10-j10 7. h11-j11 g7-g9 8. j6-j9xj10 f6-f7 9. k7-i7 f7-d7 10. e11-c11 g9-a9 11. b10-a10xa9 d7-d10 12. resigned
